name,description,Spirit,Region,ABV,Size,# of Bottles per,Batch #,Year Distilled,image,animation_url
Lil Noun Spirited Vodka #001,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,1.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=0
Lil Noun Spirited Vodka #002,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,2.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=1
Lil Noun Spirited Vodka #003,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,3.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=2
Lil Noun Spirited Vodka #004,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,4.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=3
Lil Noun Spirited Vodka #005,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,5.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=4
Lil Noun Spirited Vodka #006,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,6.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=5
Lil Noun Spirited Vodka #007,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,7.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=6
Lil Noun Spirited Vodka #008,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,8.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=7
Lil Noun Spirited Vodka #009,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,9.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=8
Lil Noun Spirited Vodka #010,"This Lil Noun Spirited Vodka is the inaugural launch NFT of Liquid Collections.
This is the first in a series of exclusive, collectible ultra-premium spirits made in collaboration with artists. Launching with a unique Lil Noun, Liquid Collections created a ghostly-inspired, limited-edition vodka, only available via NFT.
Made of locally sourced winter wheat from a farm in Washington state, this Spirited vodka has been artisanally crafted, triple-distilled, and freeze-filtered before being blended with ultra-pure water from the Cascade mountain range.

Go to the collection page https://liquidcollections.com/lil-noun-vodka for redemption logistics, FAQs and to sign up for notifications via email.

When bottles have been claimed, the NFT image will show a bottle on its side and the words “Bottles Collected” at the bottom right corner.
",Vodka,Pacific Northwest,"""40%""",750ml,Two,One,2022,10.jpg,https://chromapdx.github.io/liquidCollectionXChroma/animation-prod.html?nftid=9
